file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on metro_station,h8d5 transfer on metro_station,h12d5 transfer on metro_station,h24d5 transfer on metro_station,h48d5 transfer on metro_station
SNRdb10_p249_262_1264,1.211107850074768,1.72471022605896,1.947111964225769,1.7720286846160889,1.9140062332153318,2.2839508056640625,2.0210106372833248,2.273369789123535,2.463899850845337,2.410571575164795,2.314648389816284
SNRdb20_p343_090_1264,1.32672119140625,1.9242703914642332,2.429915189743042,2.546160697937012,2.8268582820892334,1.6787774562835691,2.7463274002075195,2.397885799407959,2.673619270324707,2.6530957221984863,1.6545021533966064
SNRdb0_p299_093_1287,1.0730372667312622,1.2571402788162231,1.4007833003997805,1.3277660608291626,1.3989639282226562,1.590410232543945,1.3155217170715332,1.369410514831543,1.2278531789779663,1.4746105670928955,1.440967082977295
SNRdb5_p360_387_1287,1.438182711601257,1.5009377002716064,1.541168212890625,1.5195406675338743,1.7687358856201172,1.97172486782074,1.4661680459976196,1.5546923875808716,1.9879062175750728,2.01997184753418,1.9816702604293823
SNRdb10_p299_396_1287,1.1640441417694092,1.948324203491211,2.369148731231689,1.8054711818695068,2.2179081439971924,2.53824520111084,2.1344137191772456,1.895216703414917,2.3319261074066158,2.323188781738281,2.4220917224884038
SNRdb20_p339_392_1287,2.157420873641968,2.745649814605713,2.7965633869171143,2.924041748046875,2.96525502204895,3.108271360397339,2.8417181968688965,2.915576934814453,3.0516390800476074,3.0192530155181885,2.9711408615112305
SNRdb0_p299_300_1292,1.064930438995361,1.1477713584899902,1.2408806085586548,1.2791812419891355,1.3302056789398191,1.3428763151168823,1.203593134880066,1.2914032936096191,1.3099089860916138,1.1902108192443848,1.3508388996124268
SNRdb5_p249_132_1292,1.1275153160095217,1.2913920879364014,1.3701270818710327,1.3110960721969604,1.476388454437256,1.4699183702468872,1.2266995906829834,1.3797104358673096,1.6244970560073853,1.5969734191894531,1.4878295660018919
SNRdb10_p281_181_1292,1.5164892673492432,1.5187852382659912,1.6094787120819092,1.7386155128479004,1.6661076545715332,1.8429723978042605,2.0585281848907466,1.703195333480835,2.3147814273834233,2.3399815559387207,2.0628502368926998
SNRdb20_p360_018_1292,1.874294996261597,2.310628652572632,2.30552077293396,2.3890469074249268,2.4938549995422363,2.8255748748779297,2.464104652404785,2.2893309593200684,2.5461101531982417,2.624896287918091,2.498274564743042
SNRdb0_p246_172_131,1.1130952835083008,1.219451069831848,1.1658083200454712,1.2320898771286009,1.293516755104065,1.3191399574279783,1.3397479057312012,1.2660048007965088,1.3862015008926392,1.301613211631775,1.519816756248474
SNRdb5_p281_296_131,1.3580876588821411,1.443905234336853,1.6603941917419434,1.5248421430587769,1.5697908401489258,1.6836168766021729,1.5496084690093994,1.7583479881286619,1.8349616527557373,1.8056344985961916,1.6975305080413818
SNRdb10_p281_440_131,1.394566535949707,1.398356318473816,1.490546703338623,1.5145826339721682,1.597750186920166,1.6217052936553955,1.4852128028869631,1.5800848007202148,1.7053635120391846,1.597470998764038,1.5947934389114382
SNRdb20_p306_115_131,1.95219361782074,2.5951197147369385,2.668177366256714,2.6499154567718506,2.663414478302002,2.21106481552124,2.4771041870117188,2.6862576007843018,2.6564042568206787,2.577704668045044,2.527854681015014
SNRdb0_p249_160_1330,1.0413836240768433,1.135161280632019,1.246894121170044,1.2058348655700684,1.3472121953964231,1.3781617879867554,1.1636478900909424,1.2306387424468994,1.1618728637695312,1.267188310623169,1.3643026351928709
SNRdb5_p339_110_1330,1.0919666290283203,1.54168438911438,1.732311725616455,1.716545343399048,1.6777937412261963,1.8781514167785645,1.5273559093475342,1.6581504344940186,1.89729642868042,1.949687957763672,1.7884516716003418
SNRdb10_p298_300_1330,1.6564425230026243,2.0214223861694336,2.084056854248047,2.226558923721313,2.521487236022949,2.5488262176513667,2.1052393913269043,2.28928542137146,2.479532480239868,2.508491516113281,2.4347035884857178
SNRdb20_p246_260_1330,2.971158742904663,3.304774045944214,3.2833890914916988,3.357255458831787,2.902882575988769,3.2523627281188965,3.46860146522522,3.3749594688415527,3.4290151596069336,3.2913608551025386,3.087775707244873
SNRdb0_p246_227_1331,1.0995736122131348,1.1777054071426392,1.2914464473724363,1.2184370756149292,1.2990410327911377,1.3479328155517578,1.291563868522644,1.2910809516906738,1.4080926179885864,1.4581129550933838,1.451712965965271
SNRdb5_p249_208_1331,1.157683253288269,1.3064045906066897,1.5662624835968018,1.3202500343322754,1.6492036581039429,1.5532658100128174,1.3403499126434326,1.5776014328002932,1.478930950164795,1.6410119533538818,1.5570826530456543
SNRdb10_p306_111_1331,1.2956058979034424,1.5291112661361694,1.7916116714477541,1.7901562452316284,1.686096429824829,1.9559550285339355,1.678561806678772,1.7885829210281372,2.1247222423553467,2.281407117843628,2.310535430908203
SNRdb20_p335_096_1331,1.635989785194397,2.4696285724639893,2.815699577331543,2.388932228088379,2.3825507164001465,3.040733814239502,2.599259853363037,2.864375591278076,2.757075786590576,2.970722198486328,3.001270532608032
SNRdb0_p303_203_1345,1.0428652763366701,1.122045636177063,1.2357950210571291,1.1811774969100952,1.1966902017593384,1.2285466194152832,1.1848084926605225,1.2146363258361816,1.2987114191055298,1.3584870100021362,1.2463574409484863
SNRdb5_p299_024_1345,1.1329829692840576,1.4394023418426514,1.6686946153640747,1.5512118339538574,1.6251077651977541,1.6963169574737549,1.475245237350464,1.59944748878479,1.7315690517425537,1.8256371021270752,1.7709534168243408
SNRdb10_p299_247_1345,1.3249499797821045,1.8785715103149412,2.2665843963623047,1.8976672887802124,2.1797027587890625,2.32218074798584,1.971885681152344,2.158344268798828,2.1657919883728027,2.4023938179016118,2.1522567272186284
SNRdb20_p303_120_1345,2.140230417251587,2.330972909927368,2.51479721069336,2.767888069152832,2.4063777923583984,2.452528953552246,2.400456666946411,2.8120391368865967,3.0901579856872563,2.9688124656677246,2.76755428314209
SNRdb0_p306_147_1351,1.0288692712783811,1.1077903509140017,1.1504921913146973,1.1225355863571167,1.1743652820587158,1.2148514986038208,1.1094868183135986,1.1498802900314329,1.1401000022888184,1.2573890686035156,1.154119849205017
SNRdb5_p335_259_1351,1.1552388668060305,1.4688993692398071,1.5851082801818848,1.438825607299805,1.819337487220764,1.9084906578063965,1.5159766674041748,1.5346245765686035,1.671578884124756,1.8934068679809568,1.967336177825928
