file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on car,h8d5 transfer on car,h12d5 transfer on car,h24d5 transfer on car,h48d5 transfer on car
SNRdb20_p303_120_1425,2.975520610809326,2.9916000366210938,3.5024623870849614,3.366317749023437,3.4087493419647217,2.937830924987793,3.685935735702514,3.850900411605835,3.2753593921661377,3.836946725845337,3.1629478931427
SNRdb0_p306_147_1435,1.226933240890503,2.0445594787597656,2.632591724395752,2.463287591934204,2.657655477523804,2.537816286087036,2.514296770095825,3.081282615661621,2.9518053531646733,2.5551793575286865,2.923121929168701
SNRdb5_p335_259_1435,1.890748620033264,3.0703816413879395,3.229793071746826,3.3020739555358887,2.639798641204834,3.532275676727295,3.7619662284851074,3.9573180675506587,2.5903148651123047,2.8238348960876465,3.740731000900269
SNRdb10_p298_162_1435,3.1416893005371094,3.525101661682129,3.2712135314941406,3.5236215591430664,3.8277399539947514,3.6111421585083012,3.819685220718384,4.008008003234863,3.7525246143341056,3.9218866825103764,3.7962372303009033
SNRdb20_p246_320_1435,3.983903646469116,3.468052625656128,3.629745960235596,3.669212102890015,3.7248210906982417,3.5963854789733887,3.899477481842041,3.8888134956359854,3.96410083770752,3.8430838584899902,3.6921775341033936
SNRdb0_p360_131_1438,1.2505288124084473,1.4646421670913696,1.451393961906433,1.5476205348968506,1.521101713180542,1.7051856517791748,1.6409254074096682,1.5601112842559814,1.7352416515350342,1.5978741645812988,1.7904157638549805
SNRdb5_p306_018_1438,1.4351260662078855,2.3708174228668213,2.68174147605896,2.5282323360443115,2.606816291809082,2.749006986618042,2.460758209228516,2.584218740463257,2.5236990451812744,2.642770290374756,2.5709731578826904
SNRdb10_p306_219_1438,1.7365539073944092,2.552962303161621,2.826838254928589,2.6338250637054443,2.6459994316101074,2.723883390426636,2.608660936355591,2.7560155391693115,2.623697519302368,2.809731721878052,2.8543810844421387
SNRdb20_p335_043_1438,1.9721139669418333,3.174646377563477,3.2173516750335693,3.3778316974639893,2.734689950942993,3.283501148223877,3.6188161373138423,3.515022754669189,3.4088382720947266,3.7541615962982178,3.5807762145996094
SNRdb0_p343_291_1439,1.3443291187286377,2.1518535614013667,2.616499423980713,2.3343281745910645,2.498227119445801,2.7538831233978267,2.5029008388519287,3.118401050567627,2.342365264892578,3.0038166046142583,2.966519832611084
SNRdb5_p246_278_1439,1.957700490951538,2.9985804557800293,2.9515810012817383,2.7322545051574707,3.0512235164642334,3.1434628963470463,3.0583922863006587,3.1387958526611333,2.9117095470428467,3.134107828140259,3.4357855319976807
SNRdb10_p246_235_1439,2.685780763626098,3.1579685211181636,3.131206512451172,3.053849697113037,3.2967045307159424,3.080068826675415,3.2853102684021,3.29530668258667,3.2380475997924805,3.25907564163208,3.293511390686035
