file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on city_center,h8d5 transfer on city_center,h12d5 transfer on city_center,h24d5 transfer on city_center,h48d5 transfer on city_center
SNRdb0_p246_227_1322,1.053799033164978,1.1171271800994873,1.129202365875244,1.1457257270812988,1.2478036880493164,1.3356250524520874,1.1541666984558103,1.3159635066986084,1.4274389743804932,1.329232692718506,1.4503637552261353
SNRdb5_p249_208_1322,1.0788778066635132,1.218716740608215,1.3324729204177856,1.3101534843444824,1.516235589981079,1.5571541786193848,1.2938932180404663,1.4583518505096436,1.5862555503845217,1.495910406112671,1.4832749366760254
SNRdb10_p306_111_1322,1.1710426807403564,1.4793795347213743,1.6084895133972168,1.785442590713501,1.9113256931304927,1.9767600297927856,1.6386582851409912,1.7585041522979736,1.9961298704147337,1.8937902450561523,2.1065070629119877
SNRdb20_p335_096_1322,1.994083404541016,2.504577875137329,2.6861629486083984,2.3824303150177,2.646343469619751,2.7964351177215576,2.6024720668792725,2.7315762042999268,2.5873949527740483,2.807501554489136,2.802044630050659
SNRdb0_p303_203_1349,1.0638154745101929,1.3898888826370241,1.3491264581680298,1.4088051319122314,1.5210695266723633,1.3953567743301392,1.322326898574829,1.5182616710662842,1.6727864742279053,1.6691309213638306,1.6627280712127686
SNRdb5_p299_024_1349,1.126279354095459,1.4133639335632324,1.6018152236938477,1.7030229568481443,1.7411514520645142,1.8653597831726076,1.522144079208374,1.8656988143920896,2.0099866390228267,1.9638316631317136,2.3104827404022217
SNRdb10_p299_247_1349,1.2790313959121704,1.74931001663208,2.02478575706482,1.9634103775024412,1.9370903968811035,2.1644954681396484,1.6597912311553955,1.8407649993896484,2.2695391178131104,2.082153081893921,2.1899652481079097
SNRdb20_p303_120_1349,1.5677175521850586,2.0654773712158203,2.3227131366729736,2.61284613609314,2.353719711303711,2.490452527999878,2.618133306503296,2.636399030685425,2.862621068954468,2.6721067428588867,2.613852500915528
SNRdb0_p306_147_1353,1.0349001884460451,1.349303960800171,1.4558817148208618,1.3535003662109375,1.51102614402771,1.5098869800567627,1.3314138650894165,1.3981921672821045,1.4056438207626345,1.393042802810669,1.5962750911712646
SNRdb5_p335_259_1353,1.2594234943389893,1.6865320205688477,2.0783767700195312,1.9303758144378664,2.3465828895568848,2.4564309120178223,1.8369491100311282,2.2780261039733887,2.3651280403137207,2.2987635135650635,2.0946590900421143
SNRdb10_p298_162_1353,1.7759504318237305,1.9630651473999023,2.37186050415039,2.652290344238281,2.6966207027435303,2.438845634460449,2.18799090385437,2.697425842285156,2.7302021980285645,2.664128541946411,2.80937123298645
SNRdb20_p246_320_1353,2.7938928604125977,3.1786043643951416,3.2175114154815674,3.2049403190612797,3.288203239440918,3.298374652862549,3.1569488048553467,3.329188585281372,3.3821833133697514,2.9239048957824707,3.2212958335876465
SNRdb0_p360_131_1369,1.1442800760269165,1.2680740356445312,1.3570491075515747,1.4484395980834959,1.6581612825393677,1.5283305644989014,1.3248169422149658,1.4475406408309937,1.4707435369491575,1.629860281944275,1.50657057762146
SNRdb5_p306_018_1369,1.1534165143966677,1.5462663173675537,2.02028489112854,1.7056212425231934,2.0118639469146733,1.945655345916748,1.662278413772583,2.1241259574890137,2.0577118396759038,2.1392757892608643,2.106996774673462
SNRdb10_p306_219_1369,1.3600680828094482,1.9287366867065432,2.3751087188720703,2.332938432693481,2.121235609054565,2.5176234245300293,2.0066485404968257,2.573902368545532,2.414388656616211,2.240013599395752,2.2330186367034908
SNRdb20_p335_043_1369,1.7175371646881104,2.597919464111328,2.3686153888702397,2.346451759338379,2.847722053527832,2.866374492645264,2.5014939308166504,2.508754253387451,2.9788615703582764,2.9870035648345947,2.847982168197632
SNRdb0_p343_291_1380,1.115359902381897,1.5899056196212769,1.7230983972549438,1.5306978225708008,1.7629435062408447,2.1097514629364014,1.6886231899261477,2.0122005939483643,2.0604915618896484,1.8331346511840818,2.2455074787139893
