file_name,pesq noisy,h4d5 trained on all,h8d5 trained on all,h12d5 trained on all,h24d5 trained on all,h48d5 trained on all,h4d5 transfer on grocery_store,h8d5 transfer on grocery_store,h12d5 transfer on grocery_store,h24d5 transfer on grocery_store,h48d5 transfer on grocery_store
SNRdb0_p339_392_628,1.09297776222229,1.3487309217453003,1.4977219104766846,1.4201288223266602,1.6216288805007937,1.6919986009597778,1.3801538944244385,1.4874525070190432,1.3608989715576172,1.4401158094406128,1.5671954154968262
SNRdb5_p360_084_628,1.2097870111465454,1.3977948427200315,1.3706209659576416,1.4533936977386477,1.3795831203460691,1.5103251934051514,1.4209126234054563,1.380347728729248,1.395384669303894,1.4577128887176514,1.6166939735412598
SNRdb10_p299_065_628,1.3595197200775146,2.1827950477600098,2.450901746749878,2.147656917572021,2.385565280914306,2.668867826461792,2.227407693862915,2.504770040512085,2.230231523513794,2.4685938358306885,2.4031877517700195
SNRdb20_p298_233_628,2.4346485137939453,2.6755259037017822,2.1241590976715092,2.772972583770752,2.589803695678711,2.6564087867736816,2.385875940322876,2.6648483276367188,2.846521139144897,2.950144052505493,2.9193150997161865
SNRdb0_p339_034_633,1.0546258687973022,1.154521942138672,1.4216446876525881,1.3060107231140137,1.4342031478881836,1.5478760004043581,1.3060367107391355,1.3328633308410645,1.2732771635055542,1.476917028427124,1.6380453109741209
SNRdb5_p306_208_633,1.0744736194610596,1.458701729774475,1.6259377002716064,1.4481658935546875,1.605214238166809,1.7265692949295044,1.5056846141815186,1.5536222457885742,1.5107135772705078,1.7265968322753906,1.8159446716308596
SNRdb10_p281_182_633,1.377110242843628,1.7880853414535522,1.8181324005126955,1.85202157497406,2.067708969116211,2.02846908569336,1.604461431503296,2.154357433319092,1.832801818847656,2.095130205154419,1.791860818862915
SNRdb20_p298_343_633,2.4751265048980717,2.936785697937012,2.9256076812744136,2.9548244476318364,2.742753267288208,3.0740385055541988,3.0670223236083984,2.837163209915161,2.7455973625183105,2.964346170425415,2.886420488357544
SNRdb0_p251_019_638,1.1371480226516724,1.2354755401611328,1.312185764312744,1.310119390487671,1.3402625322341921,1.5139591693878174,1.375154972076416,1.3792524337768557,1.3921184539794922,1.5814017057418823,1.5455946922302246
SNRdb5_p335_143_638,1.2187955379486084,1.6040843725204468,2.086585283279419,2.2273423671722408,2.4233157634735107,2.3420064449310303,1.982947587966919,2.408047914505005,2.2696499824523926,2.3747663497924805,2.0561411380767822
SNRdb10_p303_172_638,1.4413833618164062,2.0823278427124023,2.201858758926392,2.0248823165893555,2.162656307220459,2.4386861324310303,2.2666406631469727,2.244147777557373,2.273803234100342,2.476239919662476,2.5837502479553223
SNRdb20_p299_300_638,3.0308051109313965,3.3053369522094727,3.24777889251709,3.3168931007385254,3.3443937301635738,2.80411696434021,3.034437894821167,3.274671792984009,3.3791821002960205,2.946791172027588,2.862218379974365
SNRdb0_p246_217_645,1.1244711875915527,1.3564655780792236,1.4334659576416016,1.4275239706039429,1.3498167991638184,1.6637203693389893,1.5064208507537842,1.5372154712677002,1.482144117355347,1.6071712970733645,1.681414246559143
SNRdb5_p303_091_645,1.2167235612869265,1.9607199430465696,1.8166134357452397,1.8884170055389404,1.803557515144348,2.016619920730591,1.857353925704956,2.044394016265869,1.952972173690796,2.3152379989624023,2.161334991455078
SNRdb10_p249_326_645,1.8879654407501218,2.026801347732544,2.035860776901245,2.21773362159729,2.1946039199829097,2.339127540588379,2.247525691986084,2.4359760284423833,2.1774604320526123,2.517164945602417,2.2807695865631104
SNRdb20_p303_259_645,2.478992462158203,2.8858232498168945,2.918067455291748,2.854386568069458,3.094303846359253,2.6903350353240967,2.611292600631714,3.024921417236328,2.739371061325073,2.6799654960632324,2.834343910217285
SNRdb0_p343_209_66,1.1166805028915403,1.5775890350341797,1.5831153392791748,1.7025301456451416,1.8310623168945312,1.82223641872406,1.40483558177948,1.7155685424804688,1.6370716094970703,1.662109375,1.9436081647872925
SNRdb5_p306_269_66,1.1488754749298096,1.500427007675171,1.8994354009628296,1.831828594207764,2.1394622325897217,2.333884954452514,1.8108621835708616,1.973566055297852,1.7615489959716797,2.1003398895263667,2.218839406967163
